I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	It assumes the error term $\epsilon^{(i)}$ is IID according to a Gaussian distribution (Normal distribution).
	T/F 554
	Decision Trees
	Decision Tree induction uses a basic (greedy) algorithm to recursively split the training data based on feature-based criteria.
	True
	Decision tree training follows a generally greedy procedure,.
	T/F 555
	Decision Trees
	Decision trees cannot handle numerical features and must discretize them first.
	False
	Decision trees can handle continuous-valued attributes by determining the best split point (midpoint).
	T/F 556
	Lazy Learning
	Instance-based learning (lazy learning) may be faster than model-based learning (eager learning) during training because it simply stores the data until classification.
	True
	Lazy methods spend less time in training but more time in predicting,.
	T/F 557
	K-NN
	When using k-NN, if a distance function satisfies the properties of a metric, the Symmetry property can be used to accelerate computations.
	True
	The Symmetry property $d(i, j) = d(j, i)$ can be exploited to reduce computations,.
	T/F 558
	Data Types
	The Boxplot summarizes the following quantities: Min, Q1, Q2 (50th percentile), Q3 (75th percentile), and Max.
	True
	The five-number summary consists of min, Q1, median (Q2), Q3, max,.
	T/F 559
	Data Reduction
	Dimensionality reduction typically refers to the reduction of the number of data points (samples) in a dataset.
	False
	Dimensionality reduction reduces the number of features/attributes,.
	T/F 560
	Evaluation
	For the Iris dataset in Assignment 3, increasing the number of clusters $K$ from 2 to 5 typically causes the mean SSE to increase due to diminishing returns.
	False
	As $K$ increases, the error naturally decreases.
	T/F 561
	Evaluation
	The Bias-Variance Tradeoff shows that if a model is too simple for a task, we run the risk of underfitting, characterized by high bias.
	True
	Underfitting occurs when the model is too simple, associated with high bias,,.
	T/F 562
	Dimensionality
	PCA and t-SNE are generally useful for dimensionality reduction regardless of whether the dataset has a very large number of features (e.g., > 1000).
	False
	PCA and t-SNE can be used regardless of whether the data has $>1000$ features.
	T/F 563
	Data Prep
	Z-score normalization involves centering (by subtracting the mean) and scaling (by dividing by the standard deviation) the variable.
	True
	Z-score normalization uses mean subtraction (centering) and division by standard deviation (scaling),.
	T/F 564
	Data Prep
	The Haar wavelet transform has a time complexity of $O(N \log N)$, similar to the Fast Fourier Transform.
	False
	Haar Wavelet decomposition has complexity $O(N)$, which is more efficient than the Fast Fourier Transform $O(N \log N)$.
	T/F 565
	Visualization
	A boxplot can usually show whether a variable follows a unimodal or multimodal distribution pattern.
	False
	A boxplot cannot show if a variable follows a unimodal or multimodal distribution; histograms are needed for this,.
	T/F 566
	Logistics
	If a student uses an existing library call from Scikit-learn that performs the entire required operation for an assignment, this is acceptable as long as they cite the source.
	False
	Students must implement methods from scratch, and may not use existing library calls that basically perform the operation requested.
	T/F 567
	Logistics
	The grading scheme assigns 20% to the midterm and 35% to the final exam.
	True
	Midterm exam is 20%; Final exam is 35%.
	T/F 568
	Logistics
	Missing the mandatory short video walkthrough for a coding assignment will result in a 5% grade reduction on the assignment component.
	False
	If the video walkthrough is missing, the entire assignment component will not be graded.
	T/F 569
	Logistics
	When communicating with the TAs regarding course questions, students should primarily use email for quick responses.
	False
	Students should use Canvas for questions to the TA.
	T/F 570
	Classification
	The goal of supervised learning is to learn a mapping between a data point and a target variable, such that this mapping generalizes to data we have seen during training.
	False
	The mapping must generalize to unseen examples,.
	Practice Short Answer Questions (Continuation: Questions 20-50)
Topic 5: Frequent Pattern Mining & Association Rules (5 Questions)
20. Explain the difference between Support and Confidence measures for an association rule $X \to Y$ using probability notation.

   * Reasoning: Support ($s$) measures how frequently $X$ and $Y$ occur together in the dataset, calculated as the probability $P(X \cup Y)$,. Confidence ($c$) measures the conditional probability that a transaction contains $Y$ given that it contains $X$, calculated as $P(Y|X)$,.
   21. Why might the rule "Buy coffee $\to$ buy milk" be found as a frequent rule with high confidence, yet be considered misleading or uninteresting?

      * Reasoning: This rule can be misleading because Support and Confidence are not good measures to indicate correlations. It might be frequent/high confidence if $P(\text{Milk})$ is very high overall (high prior probability), even if $P(\text{Milk}|\text{Coffee})$ is not significantly higher than $P(\text{Milk})$ alone. If, for example, 85% of customers buy milk, and the rule confidence is 80%, the rule suggests a negative or neutral correlation,.
      22. What does it mean for a measure of interestingness to be Null Invariant, and why is this a desirable property?

         * Reasoning: Null Invariance means that the measure's value does not change with the number of transactions that contain neither of the items we are interested in (null transactions). This is desirable because total transaction numbers fluctuate daily, and Null Invariance guarantees stability in the measure and ensures the measure is not sensitive to total transaction fluctuations.
         23. Describe the function of the Apriori pruning step, citing the underlying property that makes it work.

            * Reasoning: The Apriori pruning step ensures that if any itemset is found to be infrequent (fails to be 'large'), all of its supersets should not be generated or tested. This is based on the Apriori Property (Anti-monotonicity), which states that any subset of a frequent itemset must be frequent.
            24. When comparing two itemsets, $A$ and $B$, why is the Jaccard similarity (Coherence) said to prefer balanced patterns while the Kulczynski measure favors skewed patterns?
